id,title,type,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score
ts300399,Five Came Back: The Reference Films,SHOW,1945,TV-MA,51,['documentation'],['US'],tt0075314,
tm84618,Taxi Driver,MOVIE,1976,R,114,"['drama', 'crime']",['US'],,8.2
tm154986,Deliverance,MOVIE,1972,R,109,"['drama', 'action', 'thriller', 'european']",['US'],tt0068473,9.6
tm127384,Monty Python and the Holy Grail,MOVIE,1975,PG,91,"['fantasy', 'action', 'comedy']",['GB'],tt0071853,9.5
tm120801,The Dirty Dozen,MOVIE,1967,,150,"['war', 'action']","['GB', 'US']",tt0061578,9.5
ts22164,Monty Python's Flying Circus,SHOW,1969,TV-14,30,"['comedy', 'european']",['GB'],tt0063929,9.3
tm70993,Life of Brian,MOVIE,1979,R,94,['comedy'],['GB'],tt0079470,9.3
tm14873,Dirty Harry,MOVIE,1971,R,102,"['thriller', 'action', 'crime']",['US'],tt0066999,9.2
tm119281,Bonnie and Clyde,MOVIE,1967,R,110,"['crime', 'drama', 'action']",['US'],tt0061418,9.1
tm98978,The Blue Lagoon,MOVIE,1980,R,104,"['romance', 'action', 'drama']",['US'],tt0080453,9.1
tm44204,The Guns of Navarone,MOVIE,1961,,158,"['action', 'drama', 'war']","['GB', 'US']",tt0054953,9.1
tm67378,The Professionals,MOVIE,1966,PG-13,117,"['western', 'action', 'european']",['US'],tt0060862,9.1
tm69997,Richard Pryor: Live in Concert,MOVIE,1979,R,78,"['comedy', 'documentation']",['US'],tt0079807,9.1
tm16479,White Christmas,MOVIE,1954,,115,"['romance', 'comedy']",['US'],tt0047673,9
tm135083,Cairo Station,MOVIE,1958,,77,"['drama', 'crime', 'comedy']",['EG'],tt0051390,9
tm89386,Hitler: A Career,MOVIE,1977,PG,150,"['history', 'documentation', 'european']",['DE'],tt0191182,9
tm156453,FTA,MOVIE,1972,R,97,"['war', 'documentation', 'music', 'comedy']",['US'],tt0068562,9
tm14350,Alexandria… Why?,MOVIE,1979,,133,['drama'],['EG'],tt0077751,9
tm81728,The Land,MOVIE,1969,,129,['drama'],['EG'],tt0064038,9
tm94651,Dostana,MOVIE,1980,,161,"['drama', 'comedy', 'crime', 'romance', 'action']",['IN'],tt0080653,8.9
tm27298,Saladin the Victorious,MOVIE,1963,,186,"['action', 'drama', 'war', 'history', 'romance']",['EG'],tt0057357,8.9
tm100027,Alibaba Aur 40 Chor,MOVIE,1979,,146,"['drama', 'romance', 'action', 'fantasy', 'family']","['SU', 'IN']",tt0079749,8.9
tm19608,The Blazing Sun,MOVIE,1954,,100,"['crime', 'romance', 'drama']",['EG'],tt0047500,8.9
tm204541,Dark Waters,MOVIE,1956,,120,"['action', 'drama', 'romance', 'thriller']",['EG'],tt0049761,8.9
tm259855,We Are All for the Fatherland,MOVIE,1979,,74,['documentation'],"['LB', 'CA', 'FR']",tt0170799,8.9
tm356209,Singapore,MOVIE,1960,,158,"['drama', 'thriller', 'crime']",['IN'],tt0268639,8.9
ts45948,Monty Python's Fliegender Zirkus,SHOW,1972,TV-MA,43,['comedy'],[],tt0202477,8.9
tm200475,"Beirut, Oh Beirut",MOVIE,1975,,110,['drama'],['LB'],tt0169599,8.8
tm90896,The Return of the Prodigal Son,MOVIE,1976,,124,"['music', 'drama', 'crime']","['DZ', 'EG']",tt0074168,8.8
tm336403,Khoon Khoon,MOVIE,1973,,131,"['crime', 'thriller']",['IN'],tt0230412,8.8
tm107372,Manoranjan,MOVIE,1974,,162,"['romance', 'drama', 'comedy']",['IN'],tt0071811,8.8
tm358653,Ujala,MOVIE,1959,,142,"['romance', 'crime', 'drama']",['IN'],tt0157132,8.8
tm259684,Whispers,MOVIE,1980,,93,['documentation'],"['CA', 'FR', 'LB']",tt0170803,8.8
tm403346,Chadi Jawani Budhe Nu,MOVIE,1976,,135,['romance'],['IN'],tt3290368,8.8
tm16812,Bandie,MOVIE,1978,,141,"['drama', 'action', 'romance']",['IN'],tt1219315,8.8
ts20681,Seinfeld,SHOW,1989,TV-PG,24,['comedy'],['US'],tt0098904,8.8
tm155787,GoodFellas,MOVIE,1990,R,145,"['drama', 'crime']",['US'],tt0099685,8.8
tm22327,Full Metal Jacket,MOVIE,1987,R,117,"['war', 'drama']","['US', 'GB']",tt0093058,8.8
tm180542,Once Upon a Time in America,MOVIE,1984,R,139,"['crime', 'drama', 'european']","['US', 'IT']",tt0087843,8.8
tm138875,When Harry Met Sally...,MOVIE,1989,R,96,"['comedy', 'romance', 'drama']",['US'],tt0098635,8.8
tm2386,A Nightmare on Elm Street,MOVIE,1984,R,91,['horror'],"['GB', 'US']",tt0087800,8.8
tm133087,Steel Magnolias,MOVIE,1989,PG,119,"['comedy', 'drama', 'romance']",['US'],tt0098384,8.8
tm177480,Police Academy,MOVIE,1984,R,97,"['crime', 'comedy']",['US'],tt0087928,8.7
tm54450,Christine,MOVIE,1983,R,110,"['horror', 'thriller', 'european']",['US'],tt0085333,8.7
ts22082,Knight Rider,SHOW,1982,TV-PG,51,"['scifi', 'action', 'crime', 'drama']",['US'],tt0083437,8.7
ts21715,Thomas & Friends,SHOW,1984,TV-Y,10,"['animation', 'family', 'comedy', 'fantasy', 'drama', 'action', 'music']",['GB'],tt0086815,8.7
ts20678,Saved by the Bell,SHOW,1989,TV-G,23,"['family', 'comedy', 'romance']",['US'],tt0096694,8.7
tm145608,Awakenings,MOVIE,1990,PG-13,120,"['drama', 'european']",['US'],tt0099077,8.7
ts25028,Wheel of Fortune,SHOW,1983,TV-G,26,['family'],['US'],tt0072584,8.7
tm147710,National Lampoon's Christmas Vacation,MOVIE,1989,PG-13,97,"['comedy', 'european']",['US'],tt0097958,8.7
tm142895,Lean On Me,MOVIE,1989,PG-13,105,['drama'],['US'],tt0097722,8.7
tm20712,Eddie Murphy Raw,MOVIE,1987,R,90,"['comedy', 'documentation']",['US'],tt0092948,8.7
tm117580,She's Gotta Have It,MOVIE,1986,R,84,"['romance', 'comedy']",['US'],tt0091939,8.7
ts23753,Major Dad,SHOW,1989,TV-PG,24,"['comedy', 'family']",['US'],tt0096643,8.7
tm130586,Endless Love,MOVIE,1981,R,116,"['romance', 'drama']",['US'],tt0082329,8.7
ts987,Danger Mouse,SHOW,1981,TV-Y,14,"['animation', 'comedy', 'family', 'scifi', 'european']",['GB'],tt0081848,8.7
tm721687,Vaashi,MOVIE,1983,,123,"['drama', 'thriller']",['IN'],tt13913068,8.7
tm40103,Mobile Suit Gundam: Char's Counterattack,MOVIE,1988,,119,"['scifi', 'animation', 'action', 'drama', 'war']",['JP'],tt0095262,8.7
tm125985,Mobile Suit Gundam II: Soldiers of Sorrow,MOVIE,1981,,133,"['animation', 'scifi', 'action', 'drama', 'war']",['JP'],tt0159510,8.7
ts2760,Fireman Sam,SHOW,1987,TV-Y,10,"['animation', 'comedy', 'family', 'crime', 'european']",['GB'],tt0329829,8.7
tm21953,Sam Kinison: Breaking the Rules,MOVIE,1987,R,50,"['comedy', 'documentation']",['US'],tt0307403,8.7
tm126769,Waiting for the Hearse,MOVIE,1985,,87,['comedy'],['AR'],tt0089108,8.7
tm152839,Tim Allen: Men Are Pigs,MOVIE,1990,,30,"['comedy', 'documentation']",['US'],tt0259057,8.7
tm49037,Mobile Suit Gundam III: Encounters in Space,MOVIE,1982,,144,"['action', 'drama', 'war', 'animation', 'scifi']",['JP'],tt0159511,8.7
tm62924,Monty Python Live at the Hollywood Bowl,MOVIE,1982,R,81,"['comedy', 'documentation']",['GB'],tt0084352,8.7
tm52815,Disco Dancer,MOVIE,1982,,106,"['drama', 'romance']",['IN'],tt0208903,8.7
tm159912,Agneepath,MOVIE,1990,,174,"['drama', 'action', 'crime']",['IN'],tt0098999,8.7
tm133914,Parrot Sketch Not Included: Twenty Years of Monty Python,MOVIE,1989,,72,['comedy'],['GB'],tt0213984,8.6
tm38736,Too Young The Hero,MOVIE,1988,,100,"['drama', 'war']",['US'],tt0096286,8.6
tm51083,A Stoning in Fulham County,MOVIE,1988,,120,"['thriller', 'crime', 'drama']",['US'],tt0096179,8.6
tm137013,The Ryan White Story,MOVIE,1989,,102,['drama'],['US'],tt0098237,8.6
tm157603,Dil,MOVIE,1990,,172,"['drama', 'comedy', 'romance']",['IN'],tt0099429,8.6
tm258072,Adam: His Song Continues,MOVIE,1986,,100,"['crime', 'drama']",['US'],tt0090589,8.6
tm114356,The George McKenna Story,MOVIE,1988,,100,['drama'],['US'],tt0091106,8.6
tm157853,In Defense of a Married Man,MOVIE,1990,,94,"['drama', 'crime']",['US'],tt0099396,8.6
tm132164,Bill Hicks: Sane Man,MOVIE,1989,R,80,['comedy'],['US'],,
tm446654,Mujrim,MOVIE,1989,,162,"['drama', 'action', 'crime']",['IN'],tt0097926,8.6
tm348735,Aakhri Adaalat,MOVIE,1988,,148,"['action', 'crime', 'thriller']",['IN'],tt0177505,8.6
tm151332,"Alexandria, Again and Forever",MOVIE,1989,,105,['drama'],"['FR', 'EG']",tt0099858,8.6
tm342996,Duniya,MOVIE,1984,,170,"['action', 'drama']",['IN'],tt0301231,8.6
tm24110,Strange Voices,MOVIE,1987,,100,['drama'],['US'],tt0094052,8.6
tm371359,Jaal,MOVIE,1986,,159,"['action', 'drama', 'thriller']",['IN'],tt0239495,8.6
tm55091,Quiet Victory: The Charlie Wedemeyer Story,MOVIE,1988,,100,['drama'],['US'],tt0095945,8.6
ts63001,High Risk,SHOW,1988,TV-PG,50,['comedy'],['US'],tt5944220,8.6
tm311264,Muqaddar Ka Faisla,MOVIE,1987,,172,"['action', 'comedy', 'drama', 'family']",['IN'],tt0239682,8.6
tm411457,Pyar Ke Do Pal,MOVIE,1986,,125,"['drama', 'action']",['IN'],tt0358053,8.6
tm172482,Sohni Mahiwal,MOVIE,1984,,160,"['romance', 'drama', 'action']",['IN'],tt0170148,8.6
tm419052,Ek Jaan Hain Hum,MOVIE,1983,,151,"['family', 'romance']",['IN'],tt0379272,8.6
tm47673,An Egyptian Story,MOVIE,1982,,129,"['drama', 'fantasy']",['EG'],tt0084042,8.6
tm52274,The Little Wars,MOVIE,1982,,108,"['war', 'drama', 'european']","['FR', 'LB']",tt0084492,8.6
tm147829,Unspeakable Acts,MOVIE,1990,,100,['drama'],['US'],tt0100848,8.6
ts20981,Survivor,SHOW,2000,TV-PG,48,['reality'],['US'],tt0239195,8.6
tm107744,Mission: Impossible,MOVIE,1996,PG-13,110,"['thriller', 'action']",['US'],tt0117060,8.6
ts22176,Stargate SG-1,SHOW,1997,TV-PG,44,"['scifi', 'drama', 'action']","['CA', 'US']",tt0118480,8.6
tm15897,Se7en,MOVIE,1995,R,127,"['crime', 'thriller', 'drama']",['US'],tt0114369,8.6
ts21223,Pokémon,SHOW,1997,TV-Y7,22,"['action', 'scifi', 'animation', 'comedy', 'fantasy', 'family']",['JP'],tt14053732,8.6
tm191013,Boogie Nights,MOVIE,1997,R,156,['drama'],['US'],tt0118749,8.6
tm122434,Forrest Gump,MOVIE,1994,PG-13,142,"['drama', 'romance']",['US'],tt0109830,8.6
tm25947,Snatch,MOVIE,2000,R,103,"['crime', 'comedy']","['US', 'GB']",tt0208092,8.6
tm43808,The Talented Mr. Ripley,MOVIE,1999,R,139,"['thriller', 'drama', 'crime']",['US'],tt0134119,8.6
ts20339,One Piece,SHOW,1999,TV-14,23,"['animation', 'action', 'comedy', 'drama', 'fantasy']",['JP'],tt0388629,8.6
ts5145,The Challenge,SHOW,1998,TV-14,40,"['reality', 'comedy', 'drama', 'scifi']",['US'],tt6274074,8.5
tm191110,Titanic,MOVIE,1997,PG-13,194,"['drama', 'romance']",['US'],tt0120338,8.5
ts34435,Cowboy Bebop,SHOW,1998,TV-14,25,"['animation', 'action', 'scifi', 'western', 'comedy', 'drama', 'thriller']",['JP'],tt0213338,8.5
tm192037,Starship Troopers,MOVIE,1997,R,129,"['scifi', 'action', 'thriller']",['US'],tt0120201,8.5
