id,title,type,genres,production_countries,imdb_id,imdb_score
tm154986,Deliverance,MOVIE,"['drama', 'action', 'thriller', 'european']",['US'],tt0068473,9.6
tm127384,Monty Python and the Holy Grail,MOVIE,"['fantasy', 'action', 'comedy']",['GB'],tt0071853,9.5
tm120801,The Dirty Dozen,MOVIE,"['war', 'action']","['GB', 'US']",tt0061578,9.5
ts22164,Monty Python's Flying Circus,SHOW,"['comedy', 'european']",['GB'],tt0063929,9.3
tm70993,Life of Brian,MOVIE,['comedy'],['GB'],tt0079470,9.3
tm14873,Dirty Harry,MOVIE,"['thriller', 'action', 'crime']",['US'],tt0066999,9.2
tm119281,Bonnie and Clyde,MOVIE,"['crime', 'drama', 'action']",['US'],tt0061418,9.1
tm98978,The Blue Lagoon,MOVIE,"['romance', 'action', 'drama']",['US'],tt0080453,9.1
tm44204,The Guns of Navarone,MOVIE,"['action', 'drama', 'war']","['GB', 'US']",tt0054953,9.1
tm67378,The Professionals,MOVIE,"['western', 'action', 'european']",['US'],tt0060862,9.1
tm69997,Richard Pryor: Live in Concert,MOVIE,"['comedy', 'documentation']",['US'],tt0079807,9.1
tm16479,White Christmas,MOVIE,"['romance', 'comedy']",['US'],tt0047673,9
tm135083,Cairo Station,MOVIE,"['drama', 'crime', 'comedy']",['EG'],tt0051390,9
tm89386,Hitler: A Career,MOVIE,"['history', 'documentation', 'european']",['DE'],tt0191182,9
tm156453,FTA,MOVIE,"['war', 'documentation', 'music', 'comedy']",['US'],tt0068562,9
tm14350,Alexandria… Why?,MOVIE,['drama'],['EG'],tt0077751,9
tm81728,The Land,MOVIE,['drama'],['EG'],tt0064038,9
tm94651,Dostana,MOVIE,"['drama', 'comedy', 'crime', 'romance', 'action']",['IN'],tt0080653,8.9
tm27298,Saladin the Victorious,MOVIE,"['action', 'drama', 'war', 'history', 'romance']",['EG'],tt0057357,8.9
tm100027,Alibaba Aur 40 Chor,MOVIE,"['drama', 'romance', 'action', 'fantasy', 'family']","['SU', 'IN']",tt0079749,8.9
tm19608,The Blazing Sun,MOVIE,"['crime', 'romance', 'drama']",['EG'],tt0047500,8.9
tm204541,Dark Waters,MOVIE,"['action', 'drama', 'romance', 'thriller']",['EG'],tt0049761,8.9
tm259855,We Are All for the Fatherland,MOVIE,['documentation'],"['LB', 'CA', 'FR']",tt0170799,8.9
tm356209,Singapore,MOVIE,"['drama', 'thriller', 'crime']",['IN'],tt0268639,8.9
tm200475,"Beirut, Oh Beirut",MOVIE,['drama'],['LB'],tt0169599,8.8
tm90896,The Return of the Prodigal Son,MOVIE,"['music', 'drama', 'crime']","['DZ', 'EG']",tt0074168,8.8
tm336403,Khoon Khoon,MOVIE,"['crime', 'thriller']",['IN'],tt0230412,8.8
tm107372,Manoranjan,MOVIE,"['romance', 'drama', 'comedy']",['IN'],tt0071811,8.8
tm358653,Ujala,MOVIE,"['romance', 'crime', 'drama']",['IN'],tt0157132,8.8
tm259684,Whispers,MOVIE,['documentation'],"['CA', 'FR', 'LB']",tt0170803,8.8
tm403346,Chadi Jawani Budhe Nu,MOVIE,['romance'],['IN'],tt3290368,8.8
tm16812,Bandie,MOVIE,"['drama', 'action', 'romance']",['IN'],tt1219315,8.8
ts20681,Seinfeld,SHOW,['comedy'],['US'],tt0098904,8.8
tm155787,GoodFellas,MOVIE,"['drama', 'crime']",['US'],tt0099685,8.8
tm22327,Full Metal Jacket,MOVIE,"['war', 'drama']","['US', 'GB']",tt0093058,8.8
tm180542,Once Upon a Time in America,MOVIE,"['crime', 'drama', 'european']","['US', 'IT']",tt0087843,8.8
tm138875,When Harry Met Sally...,MOVIE,"['comedy', 'romance', 'drama']",['US'],tt0098635,8.8
tm2386,A Nightmare on Elm Street,MOVIE,['horror'],"['GB', 'US']",tt0087800,8.8
tm133087,Steel Magnolias,MOVIE,"['comedy', 'drama', 'romance']",['US'],tt0098384,8.8
tm177480,Police Academy,MOVIE,"['crime', 'comedy']",['US'],tt0087928,8.7
tm54450,Christine,MOVIE,"['horror', 'thriller', 'european']",['US'],tt0085333,8.7
ts22082,Knight Rider,SHOW,"['scifi', 'action', 'crime', 'drama']",['US'],tt0083437,8.7
ts21715,Thomas & Friends,SHOW,"['animation', 'family', 'comedy', 'fantasy', 'drama', 'action', 'music']",['GB'],tt0086815,8.7
ts20678,Saved by the Bell,SHOW,"['family', 'comedy', 'romance']",['US'],tt0096694,8.7
tm145608,Awakenings,MOVIE,"['drama', 'european']",['US'],tt0099077,8.7
ts25028,Wheel of Fortune,SHOW,['family'],['US'],tt0072584,8.7
tm147710,National Lampoon's Christmas Vacation,MOVIE,"['comedy', 'european']",['US'],tt0097958,8.7
tm142895,Lean On Me,MOVIE,['drama'],['US'],tt0097722,8.7
tm20712,Eddie Murphy Raw,MOVIE,"['comedy', 'documentation']",['US'],tt0092948,8.7
tm117580,She's Gotta Have It,MOVIE,"['romance', 'comedy']",['US'],tt0091939,8.7
ts23753,Major Dad,SHOW,"['comedy', 'family']",['US'],tt0096643,8.7
tm130586,Endless Love,MOVIE,"['romance', 'drama']",['US'],tt0082329,8.7
ts987,Danger Mouse,SHOW,"['animation', 'comedy', 'family', 'scifi', 'european']",['GB'],tt0081848,8.7
tm721687,Vaashi,MOVIE,"['drama', 'thriller']",['IN'],tt13913068,8.7
tm40103,Mobile Suit Gundam: Char's Counterattack,MOVIE,"['scifi', 'animation', 'action', 'drama', 'war']",['JP'],tt0095262,8.7
tm125985,Mobile Suit Gundam II: Soldiers of Sorrow,MOVIE,"['animation', 'scifi', 'action', 'drama', 'war']",['JP'],tt0159510,8.7
ts2760,Fireman Sam,SHOW,"['animation', 'comedy', 'family', 'crime', 'european']",['GB'],tt0329829,8.7
tm21953,Sam Kinison: Breaking the Rules,MOVIE,"['comedy', 'documentation']",['US'],tt0307403,8.7
tm126769,Waiting for the Hearse,MOVIE,['comedy'],['AR'],tt0089108,8.7
tm152839,Tim Allen: Men Are Pigs,MOVIE,"['comedy', 'documentation']",['US'],tt0259057,8.7
tm49037,Mobile Suit Gundam III: Encounters in Space,MOVIE,"['action', 'drama', 'war', 'animation', 'scifi']",['JP'],tt0159511,8.7
tm62924,Monty Python Live at the Hollywood Bowl,MOVIE,"['comedy', 'documentation']",['GB'],tt0084352,8.7
tm52815,Disco Dancer,MOVIE,"['drama', 'romance']",['IN'],tt0208903,8.7
tm159912,Agneepath,MOVIE,"['drama', 'action', 'crime']",['IN'],tt0098999,8.7
tm133914,Parrot Sketch Not Included: Twenty Years of Monty Python,MOVIE,['comedy'],['GB'],tt0213984,8.6
tm38736,Too Young The Hero,MOVIE,"['drama', 'war']",['US'],tt0096286,8.6
tm51083,A Stoning in Fulham County,MOVIE,"['thriller', 'crime', 'drama']",['US'],tt0096179,8.6
tm137013,The Ryan White Story,MOVIE,['drama'],['US'],tt0098237,8.6
tm157603,Dil,MOVIE,"['drama', 'comedy', 'romance']",['IN'],tt0099429,8.6
tm258072,Adam: His Song Continues,MOVIE,"['crime', 'drama']",['US'],tt0090589,8.6
tm114356,The George McKenna Story,MOVIE,['drama'],['US'],tt0091106,8.6
tm157853,In Defense of a Married Man,MOVIE,"['drama', 'crime']",['US'],tt0099396,8.6
tm446654,Mujrim,MOVIE,"['drama', 'action', 'crime']",['IN'],tt0097926,8.6
tm348735,Aakhri Adaalat,MOVIE,"['action', 'crime', 'thriller']",['IN'],tt0177505,8.6
tm151332,"Alexandria, Again and Forever",MOVIE,['drama'],"['FR', 'EG']",tt0099858,8.6
tm342996,Duniya,MOVIE,"['action', 'drama']",['IN'],tt0301231,8.6
tm24110,Strange Voices,MOVIE,['drama'],['US'],tt0094052,8.6
tm371359,Jaal,MOVIE,"['action', 'drama', 'thriller']",['IN'],tt0239495,8.6
tm55091,Quiet Victory: The Charlie Wedemeyer Story,MOVIE,['drama'],['US'],tt0095945,8.6
ts63001,High Risk,SHOW,['comedy'],['US'],tt5944220,8.6
tm311264,Muqaddar Ka Faisla,MOVIE,"['action', 'comedy', 'drama', 'family']",['IN'],tt0239682,8.6
tm411457,Pyar Ke Do Pal,MOVIE,"['drama', 'action']",['IN'],tt0358053,8.6
tm172482,Sohni Mahiwal,MOVIE,"['romance', 'drama', 'action']",['IN'],tt0170148,8.6
tm419052,Ek Jaan Hain Hum,MOVIE,"['family', 'romance']",['IN'],tt0379272,8.6
tm47673,An Egyptian Story,MOVIE,"['drama', 'fantasy']",['EG'],tt0084042,8.6
tm52274,The Little Wars,MOVIE,"['war', 'drama', 'european']","['FR', 'LB']",tt0084492,8.6
tm147829,Unspeakable Acts,MOVIE,['drama'],['US'],tt0100848,8.6
ts20981,Survivor,SHOW,['reality'],['US'],tt0239195,8.6
tm107744,Mission: Impossible,MOVIE,"['thriller', 'action']",['US'],tt0117060,8.6
ts22176,Stargate SG-1,SHOW,"['scifi', 'drama', 'action']","['CA', 'US']",tt0118480,8.6
tm15897,Se7en,MOVIE,"['crime', 'thriller', 'drama']",['US'],tt0114369,8.6
ts21223,Pokémon,SHOW,"['action', 'scifi', 'animation', 'comedy', 'fantasy', 'family']",['JP'],tt14053732,8.6
tm191013,Boogie Nights,MOVIE,['drama'],['US'],tt0118749,8.6
tm122434,Forrest Gump,MOVIE,"['drama', 'romance']",['US'],tt0109830,8.6
tm25947,Snatch,MOVIE,"['crime', 'comedy']","['US', 'GB']",tt0208092,8.6
tm43808,The Talented Mr. Ripley,MOVIE,"['thriller', 'drama', 'crime']",['US'],tt0134119,8.6
ts20339,One Piece,SHOW,"['animation', 'action', 'comedy', 'drama', 'fantasy']",['JP'],tt0388629,8.6
ts5145,The Challenge,SHOW,"['reality', 'comedy', 'drama', 'scifi']",['US'],tt6274074,8.5
tm191110,Titanic,MOVIE,"['drama', 'romance']",['US'],tt0120338,8.5
ts34435,Cowboy Bebop,SHOW,"['animation', 'action', 'scifi', 'western', 'comedy', 'drama', 'thriller']",['JP'],tt0213338,8.5
tm192037,Starship Troopers,MOVIE,"['scifi', 'action', 'thriller']",['US'],tt0120201,8.5
tm27395,Mission: Impossible II,MOVIE,"['thriller', 'action']",['US'],tt0120755,8.5
tm113513,Dumb and Dumber,MOVIE,['comedy'],['US'],tt0109686,8.5
ts20983,Neon Genesis Evangelion,SHOW,"['drama', 'scifi', 'animation', 'action', 'fantasy', 'thriller']",['JP'],tt0112159,8.5
tm192405,Gattaca,MOVIE,"['scifi', 'thriller', 'romance', 'drama']",['US'],tt0119177,8.5
tm116655,Léon: The Professional,MOVIE,"['crime', 'drama', 'action', 'thriller', 'european']","['US', 'FR']",tt0110413,8.5
ts21567,Gilmore Girls,SHOW,"['comedy', 'drama']",['US'],tt0238784,8.5
tm116488,Natural Born Killers,MOVIE,"['thriller', 'drama', 'crime', 'action']",['US'],tt0110632,8.5
